site_id,years,states,commodity,latitude,longitude
M000843,2006;2011;2016;2021;2026;2031,0;0;0;0;0;1,Fe,10.1084,95.124
M000844,1984;1989;1994;1999,0;0;1;2,Au,-53.6258,41.2435
M000845,1991;1996,0;0,Fe,-85.4267,-1.6025
M000846,2002;2007,0;0,Cu,61.3574,134.8438
M000847,1978;1983;1988;1993;1998,0;1;1;2;2,Ag,82.1125,-171.912
M000848,2006;2011,0;0,Au,-59.806,64.1274
M000849,1996;2001;2006;2011;2016,0;1;2;2;2,Cu,-32.6434,176.0532
M000850,2004;2009;2014;2019,0;3;3;3,Ag,-26.5192,102.1932
M000851,1984;1989;1994;1999,0;1;1;2,Ag,55.0421,84.1221
M000852,2006;2011;2016,0;1;1,Cu,12.6581,-119.859
M000853,1982;1987;1992;1997;2002;2007,0;0;0;1;1;1,Au,-63.132,76.9196
M000854,2000;2005;2010;2015,0;0;1;2,Cu,-16.116,41.598
M000855,1994;1999,0;3,Au,50.8233,17.2309
M000856,1978;1983;1988;1993;1998;2003,0;0;0;1;2;2,Fe,88.4428,-58.9614
M000857,2000;2005;2010;2015;2020,0;0;3;3;3,Cu,67.316,-111.1154
M000858,1984;1989;1994,0;0;0,U,46.8291,14.1567
M000859,1970;1975;1980,0;0;1,Au,-75.961,-169.6527
M000860,1972;1977;1982;1987;1992;1997,0;1;1;2;2;2,Au,26.1858,101.3296
M000861,2007;2012;2017;2022;2027,0;0;1;2;2,Cu,-44.717,88.7584
M000862,1991;1996;2001;2006;2011;2016,0;3;3;3;3;3,U,85.7906,158.4406
M000863,1980;1985;1990;1995;2000,0;0;0;3;3,Zn,-55.5967,-167.0006
M000864,1990;1995;2000;2005;2010,0;0;0;0;0,Zn,62.176,-66.0841
M000865,1992;1997;2002;2007;2012;2017,0;0;1;2;2;2,Fe,-21.5892,125.8086
M000866,1972;1977;1982;1987;1992;1997,0;0;0;0;0;0,Zn,-83.573,-14.1866
M000867,2007;2012;2017;2022;2027,0;0;0;0;3,Au,24.2842,-23.1665
M000868,1998;2003;2008;2013;2018,0;0;0;0;1,U,73.2018,153.2533
M000869,1979;1984,0;0,Zn,-24.0046,-115.0083
M000870,1987;1992;1997;2002;2007;2012,0;1;2;2;2;2,Cu,79.1272,-170.3964
M000871,2008;2013,0;1,Ag,-14.4977,-2.7056
M000872,1989;1994;1999;2004,0;1;1;1,Fe,86.2426,-84.0885
M000873,2008;2013;2018,0;0;0,Cu,-19.6996,28.7304
M000874,2013;2018;2023;2028;2033,0;0;0;0;1,Zn,-83.6238,6.3057
M000875,1982;1987;1992;1997;2002,0;0;0;0;0,Cu,59.4776,7.5667
M000876,2003;2008;2013;2018,0;0;3;3,Ag,10.3162,-75.4846
M000877,1973;1978;1983;1988;1993;1998,0;1;1;1;1;2,Fe,59.9962,136.6367
M000878,1973;1978;1983;1988,0;0;1;1,U,53.9127,96.7304
M000879,2009;2014,0;0,Zn,-41.569,92.3859
M000880,1976;1981;1986,0;0;0,Au,88.2565,-116.0021
M000881,1980;1985;1990;1995;2000;2005,0;0;0;1;1;1,Au,-82.6049,148.1634
M000882,1997;2002;2007,0;0;1,Ag,25.6194,-93.9354
M000883,2005;2010;2015,0;0;1,U,32.4409,-96.2059
M000884,2013;2018,0;0,Zn,67.5768,78.921
M000885,1992;1997,0;0,Cu,44.9467,-131.8692
M000886,1990;1995;2000;2005;2010,0;0;1;2;2,Au,84.6649,-31.5667
M000887,2011;2016;2021;2026;2031,0;0;0;0;0,Zn,-9.4061,166.5365
M000888,2012;2017;2022,0;1;1,U,4.3472,-7.3941
M000889,1999;2004;2009;2014;2019;2024,0;0;1;2;2;2,Cu,15.1522,-78.6395
M000890,2003;2008;2013;2018;2023;2028,0;3;3;3;3;3,Ag,63.7135,-155.14
M000891,2002;2007,0;0,Zn,48.2924,-146.586
M000892,2006;2011;2016;2021,0;0;0;3,Zn,-76.9198,71.3964
M000893,2005;2010;2015;2020;2025;2030,0;0;0;0;3;3,Cu,11.6193,-55.9589
M000894,2006;2011;2016;2021;2026,0;0;3;3;3,Cu,-7.5175,36.0009
M000895,1995;2000;2005;2010,0;1;3;3,Ag,9.5962,8.5094
M000896,1997;2002;2007,0;0;1,Fe,66.0926,82.3553
M000897,2010;2015;2020;2025;2030,0;3;3;3;3,Fe,-45.3342,167.9276
M000898,1977;1982;1987,0;0;0,Fe,45.4364,82.6134
M000899,1983;1988,0;1,Zn,-67.592,-25.4597
M000900,2002;2007,0;3,Fe,-49.5802,-151.703
M000901,2000;2005;2010;2015,0;0;0;1,Ag,-71.9674,-21.3735
M000902,2009;2014;2019;2024,0;1;1;1,Cu,10.94,-53.9109
M000903,2007;2012;2017;2022,0;1;1;1,Fe,-6.783,-92.5451
M000904,1999;2004,0;3,U,30.216,143.5909
M000905,2012;2017;2022;2027;2032;2037,0;0;0;0;3;3,U,22.687,127.8474
M000906,2012;2017,0;1,U,57.2441,121.8966
M000907,1997;2002;2007,0;1;1,U,-46.5423,43.8172
M000908,1972;1977;1982,0;3;3,Fe,-31.1191,85.5154
M000909,1996;2001;2006,0;0;0,Zn,15.9987,166.935
M000910,2001;2006;2011;2016,0;3;3;3,Zn,-45.5883,44.7516
M000911,2001;2006,0;0,Ag,-82.5173,-172.1239
M000912,1976;1981;1986;1991,0;0;0;1,Au,88.5565,-118.0838
M000913,1992;1997;2002;2007;2012;2017,0;0;1;1;1;3,Cu,2.9988,-18.0602
M000914,1991;1996;2001;2006,0;0;0;1,Fe,78.1882,9.4978
M000915,2006;2011;2016;2021;2026;2031,0;1;3;3;3;3,Zn,88.9671,11.0747
M000916,2005;2010;2015;2020;2025;2030,0;0;3;3;3;3,Zn,72.2964,-52.9202
M000917,1973;1978;1983;1988,0;0;1;1,Fe,31.4648,172.4629
M000918,1986;1991;1996;2001;2006,0;1;1;2;2,Au,13.2712,2.756
M000919,1984;1989;1994;1999;2004;2009,0;0;0;0;0;0,U,-9.4196,46.7065
M000920,2008;2013;2018;2023,0;0;1;2,Cu,75.191,12.2753
M000921,1982;1987;1992;1997;2002;2007,0;1;1;2;2;2,Zn,71.0022,176.1832
M000922,1979;1984,0;3,U,11.9353,-77.598
M000923,2008;2013;2018,0;1;3,Au,-73.0363,75.1207
M000924,1991;1996,0;0,Cu,-65.9424,-39.201
M000925,1994;1999;2004;2009;2014;2019,0;0;1;1;1;2,Cu,-7.2951,150.2545
M000926,2004;2009,0;0,Fe,-52.8811,-89.479
M000927,1991;1996;2001,0;0;0,Ag,27.951,-177.4553
M000928,1977;1982,0;0,Au,-55.1516,-25.4516
M000929,2012;2017;2022;2027;2032;2037,0;0;1;1;1;1,U,-58.3975,-137.8627
M000930,2005;2010;2015;2020;2025,0;1;1;2;2,Au,84.4329,62.7382
M000931,1998;2003;2008,0;0;1,Ag,47.875,-152.9857
M000932,1986;1991;1996,0;0;1,Fe,-59.6391,-138.9919
M000933,2005;2010,0;0,Cu,-50.0006,-96.8866
M000934,1985;1990;1995;2000,0;0;0;1,Fe,-50.2585,10.147
M000935,1992;1997,0;1,Ag,14.993,-117.7144
M000936,2008;2013;2018;2023;2028,0;1;3;3;3,Cu,-67.7424,-52.336
M000937,2001;2006,0;1,Ag,-67.4711,-62.4225
M000938,2005;2010;2015,0;0;1,Au,-88.9061,69.9346
M000939,2010;2015,0;0,Ag,23.6969,134.8693
M000940,1971;1976;1981;1986;1991;1996,0;1;2;2;2;2,Au,63.1391,-55.8037
M000941,1977;1982;1987,0;1;1,U,7.323,-124.8318
M000942,1998;2003;2008;2013;2018;2023,0;1;1;3;3;3,Au,40.6364,29.1929
M000943,1991;1996;2001;2006;2011,0;3;3;3;3,Fe,11.7421,-29.4078
M000944,2006;2011;2016;2021;2026,0;0;1;1;2,Zn,-49.0127,-28.0805
M000945,1997;2002,0;1,Zn,-62.4984,-179.2687
M000946,1981;1986;1991;1996;2001;2006,0;1;1;1;1;1,Cu,75.0296,162.1469
M000947,1998;2003;2008;2013;2018,0;0;0;1;3,Cu,3.2837,85.0478
M000948,1976;1981;1986;1991;1996,0;1;2;2;2,Ag,-12.7547,101.1033
M000949,1970;1975;1980;1985,0;0;1;1,U,53.3997,36.8076
M000950,2013;2018;2023;2028,0;0;1;1,Zn,54.9827,159.8265
M000951,1980;1985;1990,0;0;0,Zn,-79.0016,75.0617
M000952,1988;1993;1998;2003;2008,0;1;2;2;2,Au,59.5341,-60.0733
M000953,2007;2012;2017;2022;2027,0;0;0;3;3,U,50.55,-161.9659
M000954,1981;1986;1991;1996;2001,0;0;0;0;0,Zn,-19.9914,42.7629
M000955,1989;1994;1999;2004,0;0;0;3,Ag,29.9053,-133.9875
M000956,2004;2009;2014,0;0;1,Ag,-23.738,-25.0814
M000957,2004;2009;2014,0;0;1,U,52.3048,126.6129
M000958,2005;2010;2015;2020;2025,0;3;3;3;3,Zn,59.8104,32.6385
M000959,1983;1988;1993;1998;2003,0;1;1;2;2,Ag,34.9239,79.7617
M000960,2001;2006;2011;2016;2021,0;0;1;1;1,Fe,-50.0659,144.1269
M000961,1970;1975;1980;1985;1990,0;0;0;0;1,Au,-7.8704,33.194
M000962,2004;2009;2014;2019;2024;2029,0;3;3;3;3;3,Cu,-12.3058,136.1193
M000963,1995;2000;2005;2010;2015;2020,0;1;1;1;1;2,Au,56.0653,-80.1669
M000964,1993;1998;2003;2008;2013,0;1;1;1;2,Zn,-73.7169,4.4396
M000965,1996;2001;2006;2011;2016,0;0;0;0;1,U,-30.3611,-2.183
M000966,1988;1993;1998,0;0;0,U,43.5209,-144.5894
M000967,1971;1976,0;1,Au,82.7436,53.4377
M000968,2001;2006;2011;2016;2021,0;0;1;1;1,Fe,31.6454,-75.5252
M000969,1972;1977;1982,0;1;1,Fe,24.0827,147.3302
M000970,1972;1977;1982;1987;1992;1997,0;0;1;2;2;2,Ag,-52.2801,-159.2006
M000971,2006;2011;2016;2021,0;0;1;1,Au,53.7367,131.6934
M000972,1978;1983;1988,0;0;3,Au,54.0889,-40.6823
M000973,1999;2004;2009;2014;2019;2024,0;0;1;1;3;3,U,78.2978,-169.9928
M000974,2012;2017;2022;2027;2032,0;0;0;3;3,Cu,76.1926,-161.8874
M000975,1997;2002;2007;2012;2017;2022,0;1;1;1;3;3,Au,66.22,163.0272
M000976,1992;1997;2002,0;0;1,Ag,1.1339,-126.7824
M000977,1976;1981;1986;1991;1996,0;1;1;1;1,U,80.3467,54.402
M000978,2012;2017,0;1,Cu,63.437,162.8481
M000979,2011;2016;2021;2026;2031,0;1;2;2;2,U,-42.556,65.028
M000980,2000;2005,0;1,Ag,-50.4133,-57.8904
M000981,1982;1987;1992;1997,0;1;3;3,Au,63.8688,36.3772
M000982,1972;1977;1982;1987;1992;1997,0;1;3;3;3;3,U,55.1227,-103.9954
M000983,2003;2008;2013;2018,0;0;0;0,U,-69.837,128.433
M000984,2003;2008;2013;2018,0;3;3;3,Cu,-62.806,-49.9481
M000985,1983;1988;1993;1998;2003,0;1;1;1;1,Ag,-56.3818,103.8188
M000986,1987;1992;1997,0;0;0,U,-23.4984,-136.8712
M000987,1987;1992;1997,0;0;3,Au,20.4422,-16.879
M000988,2010;2015,0;0,Au,23.3837,-129.0129
M000989,1988;1993;1998;2003;2008,0;0;0;0;1,Fe,6.7889,49.8436
M000990,1990;1995,0;1,U,76.8623,-123.5202
M000991,1981;1986,0;0,Ag,52.4387,-142.112
M000992,2005;2010,0;1,U,-19.5573,-38.0275
M000993,1973;1978,0;1,Fe,-59.9981,173.0575
M000994,1990;1995;2000;2005;2010;2015,0;0;0;0;0;0,Zn,68.821,50.8263
M000995,1989;1994;1999;2004;2009;2014,0;0;0;0;0;1,Zn,-22.3963,84.8201
M000996,1992;1997;2002;2007,0;0;1;1,Zn,1.2013,-66.6024
M000997,1971;1976;1981;1986,0;0;0;1,Zn,83.5895,-95.9168
M000998,1972;1977;1982,0;0;0,Ag,-72.5327,-49.7856
M000999,1980;1985;1990;1995;2000;2005,0;0;0;0;0;1,Zn,-44.5537,-4.2117
M001000,2007;2012;2017;2022,0;0;0;0,Ag,50.3317,-131.4712
M001001,2012;2017;2022;2027;2032;2037,0;1;3;3;3;3,Au,-46.7274,-120.2447
M001002,1980;1985;1990;1995;2000,0;0;1;1;1,U,7.278,158.614
M001003,2007;2012;2017;2022;2027;2032,0;0;0;0;1;1,Fe,-35.2455,31.0503
M001004,1972;1977;1982,0;0;1,Au,-5.5172,-108.7684
M001005,2007;2012;2017;2022,0;0;0;0,Ag,-47.7807,-100.7655
M001006,2008;2013;2018;2023;2028;2033,0;1;1;1;1;3,Ag,83.35,-168.9186
M001007,2007;2012;2017;2022;2027,0;3;3;3;3,Ag,-65.6886,104.3906
M001008,1982;1987,0;0,Au,-88.4966,-81.1004
M001009,1974;1979;1984,0;1;1,Fe,-27.6015,-131.1451
M001010,1983;1988,0;3,Fe,60.9804,-48.7557
M001011,2006;2011;2016;2021;2026;2031,0;1;2;2;2;2,Fe,-16.3659,-28.8908
M001012,2005;2010;2015;2020,0;3;3;3,Fe,20.1287,177.5579
M001013,1987;1992;1997;2002;2007,0;0;0;0;0,Zn,-69.0183,42.8563
M001014,2010;2015;2020;2025;2030,0;0;0;0;3,U,42.3222,105.5855
M001015,1998;2003,0;3,Cu,17.541,80.5091
M001016,2013;2018,0;0,Ag,-2.6035,92.8522
M001017,2001;2006;2011;2016,0;1;1;3,Cu,83.4801,49.3944
M001018,2009;2014,0;0,Cu,47.6084,17.396
M001019,1985;1990;1995;2000;2005;2010,0;3;3;3;3;3,Cu,-16.193,-103.9884
M001020,1971;1976;1981;1986,0;0;0;0,Fe,-24.8502,-174.1099
M001021,2008;2013;2018;2023,0;0;0;1,Cu,-46.5202,5.3473
M001022,1998;2003;2008;2013;2018,0;3;3;3;3,Fe,-63.1923,50.3209
M001023,1982;1987;1992;1997;2002;2007,0;0;0;1;1;1,Ag,-84.4663,64.7569
M001024,1979;1984;1989,0;1;1,U,73.9214,15.3095
M001025,1991;1996,0;1,Zn,-75.3505,108.3476
M001026,1980;1985,0;3,Cu,-53.0502,-143.5031
M001027,1980;1985;1990;1995,0;0;0;0,Zn,49.4684,-132.4711
M001028,2002;2007;2012;2017;2022,0;0;0;0;0,Zn,-35.3908,-148.4854
M001029,1980;1985;1990;1995;2000,0;1;1;3;3,Ag,-49.5948,-108.6954
M001030,1991;1996;2001,0;0;3,Cu,46.1919,-31.5031
M001031,1984;1989,0;1,Ag,0.1324,27.1256
M001032,1993;1998;2003;2008;2013;2018,0;0;0;0;0;0,Cu,54.1242,116.1853
M001033,1991;1996,0;3,Ag,88.1628,11.8024
M001034,1978;1983,0;1,Ag,6.5703,160.6024
M001035,2009;2014;2019;2024;2029;2034,0;0;3;3;3;3,Fe,-86.1965,66.4383
M001036,1977;1982;1987;1992;1997;2002,0;0;0;1;1;3,Cu,26.8059,-146.995
M001037,2004;2009;2014;2019;2024,0;1;1;1;1,Fe,-21.093,82.9417
M001038,2007;2012;2017,0;3;3,U,19.5279,124.957
M001039,2007;2012;2017,0;1;1,U,62.6648,-53.0362
M001040,2001;2006;2011;2016,0;0;0;3,Ag,-24.3865,153.5323
M001041,1993;1998;2003;2008;2013,0;1;1;1;2,Zn,66.0809,155.9524
M001042,1980;1985;1990,0;1;1,Au,-15.3218,-146.2233
M001043,2011;2016;2021;2026;2031,0;0;0;0;0,U,89.9773,-38.2233
M001044,1974;1979;1984;1989,0;1;1;1,Fe,43.0368,7.2676
M001045,1991;1996;2001,0;0;0,U,-26.0546,-134.616
M001046,1979;1984;1989,0;0;1,Cu,60.7984,-167.5048
M001047,1997;2002,0;0,Au,26.1463,-62.5076
M001048,1983;1988,0;0,Zn,35.0816,114.0495
M001049,1970;1975;1980;1985;1990;1995,0;3;3;3;3;3,Cu,68.1581,-9.4098
M001050,2001;2006;2011;2016,0;1;2;2,Ag,45.1151,-69.9001
M001051,2009;2014;2019;2024;2029,0;0;0;0;0,Cu,43.1912,67.8743
M001052,1980;1985;1990;1995,0;0;0;0,Zn,88.3416,119.4827
M001053,1973;1978;1983;1988,0;0;0;1,Zn,53.6789,-60.749
M001054,1992;1997;2002;2007,0;0;0;1,Cu,20.4555,-60.6266
M001055,1998;2003;2008;2013;2018;2023,0;1;1;1;3;3,Cu,76.6567,34.3636
M001056,1971;1976;1981,0;0;0,U,-64.4548,-5.7206
M001057,2005;2010;2015;2020,0;0;0;1,Au,-78.2903,155.223
M001058,2007;2012,0;0,Fe,-37.591,136.4151
M001059,2013;2018;2023;2028;2033;2038,0;1;3;3;3;3,Cu,-69.6238,-47.1966
M001060,1990;1995,0;1,Ag,-76.1551,159.469
M001061,2005;2010;2015,0;0;1,Ag,46.1444,-99.5608
M001062,1979;1984;1989;1994;1999;2004,0;3;3;3;3;3,U,89.1057,32.6698
M001063,1989;1994;1999;2004;2009;2014,0;1;1;3;3;3,Zn,-6.0307,-102.0245
M001064,2001;2006;2011;2016,0;0;3;3,Fe,-30.2951,-93.0648
M001065,2010;2015;2020;2025,0;0;0;1,U,49.3364,69.901
M001066,1997;2002;2007;2012;2017;2022,0;1;1;1;1;2,U,50.3285,18.5115
M001067,1992;1997;2002;2007;2012;2017,0;0;0;1;2;2,U,29.7692,39.4482
M001068,1998;2003;2008;2013,0;0;1;1,Zn,20.5302,-55.7161
M001069,2010;2015,0;0,U,47.203,-120.1746
M001070,1975;1980,0;0,Ag,36.732,-17.6376
M001071,1974;1979,0;3,U,-45.3927,84.0367
M001072,1982;1987;1992;1997;2002;2007,0;3;3;3;3;3,Zn,28.5087,36.403
M001073,2005;2010;2015,0;0;0,Au,57.0113,137.6651
M001074,1977;1982;1987;1992;1997;2002,0;0;0;3;3;3,Au,-10.2029,179.7855
M001075,1996;2001,0;0,Cu,84.9736,-149.0657
M001076,2012;2017;2022;2027;2032,0;0;0;1;1,Cu,-54.6074,-87.2007
M001077,1993;1998;2003;2008;2013,0;0;0;1;2,Fe,-51.1204,-85.2956
M001078,1986;1991,0;1,Ag,17.3384,48.7648
M001079,2010;2015;2020;2025;2030,0;0;0;1;1,Cu,84.3723,-107.7177
M001080,1988;1993;1998,0;0;1,Cu,-71.2105,-127.4693
M001081,2009;2014;2019;2024;2029;2034,0;0;1;1;2;2,Cu,66.5714,-80.7302
M001082,1980;1985;1990,0;0;0,Fe,58.7925,171.7125
M001083,2005;2010;2015,0;0;0,Fe,-40.5951,127.6484
M001084,2009;2014,0;1,Fe,-85.0412,-157.127
M001085,1988;1993;1998;2003;2008,0;0;1;2;2,Fe,70.526,111.466
M001086,1973;1978;1983;1988,0;1;3;3,Cu,42.6777,-149.1836
M001087,1975;1980,0;1,Au,5.9329,62.9583
M001088,2003;2008;2013;2018;2023,0;1;3;3;3,Fe,-64.3678,135.8188
M001089,2004;2009;2014;2019,0;0;0;0,Zn,31.2467,-64.1394
M001090,1976;1981,0;0,Au,-81.1351,33.3271
M001091,1971;1976;1981;1986;1991;1996,0;0;0;0;0;0,Au,-79.3442,59.8621
M001092,2003;2008;2013,0;0;0,Au,32.5856,-71.7806
M001093,1980;1985;1990;1995,0;3;3;3,Cu,19.3222,-179.695
M001094,1982;1987;1992;1997;2002,0;0;3;3;3,Zn,-34.3222,-128.7173
M001095,1976;1981;1986;1991;1996,0;1;1;1;1,Fe,-79.6114,-17.3986
M001096,2007;2012,0;0,Cu,-70.2044,-101.8208
M001097,1984;1989;1994;1999;2004,0;0;0;1;3,Fe,0.1584,-137.2561
M001098,2010;2015;2020;2025;2030,0;1;2;2;2,Fe,-26.4813,130.7224
M001099,1998;2003;2008;2013,0;1;1;1,U,-41.8632,109.1523
M001100,2005;2010;2015;2020;2025,0;0;3;3;3,Cu,-41.1524,136.7822
M001101,1988;1993;1998;2003;2008;2013,0;1;1;2;2;2,Fe,56.1981,127.4052
M001102,2012;2017;2022;2027;2032,0;0;0;1;1,Cu,-73.1,-129.5425
M001103,1971;1976;1981,0;1;2,Cu,54.4121,-175.0991
M001104,2008;2013;2018;2023;2028;2033,0;0;0;1;1;2,Fe,66.7343,91.2813
M001105,1971;1976;1981;1986,0;1;1;1,Fe,60.8974,171.7636
M001106,1986;1991,0;0,U,8.8315,-92.4424
M001107,1990;1995;2000;2005,0;0;1;1,Ag,4.8821,103.7227
M001108,1984;1989;1994;1999;2004;2009,0;0;0;1;1;2,Au,-20.2264,40.988
M001109,1996;2001;2006,0;1;1,Ag,80.0348,62.4661
M001110,2000;2005;2010;2015;2020;2025,0;1;3;3;3;3,Ag,-50.8725,-115.6556
M001111,1981;1986;1991;1996;2001,0;1;1;1;3,Ag,-37.3889,64.0128
M001112,1996;2001;2006;2011;2016;2021,0;0;0;1;3;3,U,-36.5392,73.3866
M001113,1975;1980;1985,0;0;1,U,15.5453,162.3843
M001114,2003;2008;2013;2018;2023;2028,0;0;3;3;3;3,Au,-52.3884,-98.7532
M001115,1985;1990,0;3,Cu,-5.5598,27.8591
M001116,2009;2014;2019,0;0;3,U,82.2377,-89.2393
M001117,1992;1997;2002;2007;2012;2017,0;0;1;2;2;2,Zn,73.2816,159.5055
M001118,1974;1979;1984,0;3;3,Au,33.6709,146.9729
M001119,1977;1982;1987;1992,0;0;0;0,Fe,-89.269,-127.0608
M001120,1989;1994;1999;2004;2009,0;1;1;1;1,U,-49.6709,-53.0039
M001121,1972;1977;1982;1987;1992,0;0;0;0;0,U,-78.9582,-137.4197
M001122,1981;1986;1991,0;0;0,Cu,0.894,105.2385
M001123,1972;1977;1982,0;1;3,U,-69.01,-134.4584
M001124,1996;2001,0;1,Au,10.2316,-115.9841
M001125,1971;1976,0;0,Fe,-37.7134,2.7291
M001126,2011;2016;2021;2026;2031;2036,0;0;3;3;3;3,Zn,-79.6048,116.5717
M001127,2006;2011;2016,0;0;0,Fe,-17.9094,81.8843
M001128,1986;1991;1996;2001;2006;2011,0;0;1;2;2;2,Ag,-46.9963,-11.4705
M001129,1978;1983;1988;1993;1998,0;1;1;1;1,Au,75.7599,-149.804
M001130,1980;1985;1990;1995,0;0;0;1,U,16.3546,113.4085
M001131,2006;2011;2016;2021;2026,0;0;0;1;2,Cu,37.7448,-98.7083
M001132,2007;2012;2017;2022;2027;2032,0;3;3;3;3;3,Zn,-77.7097,-13.3853
M001133,1997;2002;2007;2012;2017,0;0;0;0;3,Ag,-4.5899,-169.7009
M001134,1981;1986;1991;1996,0;1;2;2,Fe,-16.8101,164.8585
M001135,1981;1986;1991;1996;2001,0;0;0;0;3,Zn,12.4616,-134.071
M001136,2003;2008;2013;2018;2023;2028,0;3;3;3;3;3,U,-57.6677,18.134
M001137,1980;1985;1990;1995;2000;2005,0;1;2;2;2;2,Au,67.2145,-128.7324
M001138,2007;2012,0;1,Cu,-18.6332,1.0848
M001139,1994;1999;2004;2009;2014,0;0;1;2;2,Cu,-52.9116,-46.0053
M001140,1995;2000;2005;2010;2015;2020,0;1;1;1;1;1,U,-60.9624,103.9534
M001141,1997;2002;2007;2012;2017;2022,0;3;3;3;3;3,Zn,-81.1993,-21.9546
M001142,1973;1978;1983,0;1;1,Au,49.9873,138.0817
M001143,2002;2007;2012;2017,0;0;1;3,Zn,42.3525,133.0144
M001144,1986;1991;1996,0;0;0,Zn,-0.9982,-138.8033
M001145,1984;1989;1994;1999;2004;2009,0;3;3;3;3;3,Cu,16.2856,-44.794
M001146,1988;1993;1998;2003,0;0;0;0,U,-20.0027,-20.2129
M001147,1993;1998;2003,0;0;0,Fe,25.3673,159.1737
M001148,1974;1979;1984;1989;1994,0;3;3;3;3,Fe,-42.2682,134.2246
M001149,1979;1984;1989;1994;1999,0;1;2;2;2,Au,50.9209,-51.8583
M001150,1982;1987;1992,0;1;1,Zn,24.3518,8.5585
M001151,1989;1994,0;0,Ag,36.3493,-44.0215
M001152,1985;1990;1995;2000,0;1;1;3,Zn,59.0912,125.4912
M001153,1986;1991;1996;2001,0;0;1;1,Zn,-17.7946,65.0626
M001154,2006;2011;2016;2021;2026,0;0;1;1;2,Ag,28.3305,58.8981
M001155,2007;2012;2017;2022,0;3;3;3,Fe,30.0302,-76.5615
M001156,2000;2005;2010,0;1;2,U,-14.7616,120.5688
M001157,1982;1987;1992;1997,0;0;1;1,Ag,-2.7459,162.9678
M001158,1973;1978;1983,0;3;3,Ag,49.5895,-32.4191
M001159,1991;1996,0;0,Au,44.019,-65.7749
M001160,2006;2011;2016;2021;2026;2031,0;1;2;2;2;2,U,-0.6649,-87.5011
M001161,1970;1975;1980;1985;1990,0;0;0;1;1,Au,77.3277,29.8085
M001162,1995;2000;2005,0;0;0,Cu,3.9492,-128.3936
M001163,1974;1979;1984;1989;1994;1999,0;1;2;2;2;2,Zn,80.4449,-109.4618
M001164,1971;1976;1981;1986;1991;1996,0;1;1;3;3;3,Au,9.4068,-49.2382
M001165,1992;1997;2002,0;0;0,Ag,56.8597,-45.6412
M001166,2002;2007;2012;2017,0;0;0;1,Ag,5.7081,107.4514
M001167,1996;2001;2006;2011;2016,0;0;0;0;1,U,65.4807,156.7612
M001168,1973;1978;1983;1988;1993,0;0;0;0;0,Au,53.9259,108.0452
M001169,2006;2011;2016;2021;2026;2031,0;0;1;1;1;3,Fe,70.0292,-85.1839
M001170,2008;2013;2018;2023,0;0;0;1,U,-74.5074,107.6654
M001171,2004;2009;2014,0;0;0,Au,-54.3919,-62.9417
M001172,1985;1990;1995;2000,0;0;1;2,U,-51.1299,174.9456
M001173,1990;1995;2000;2005;2010,0;0;1;2;2,Fe,4.979,139.2972
M001174,1988;1993;1998;2003;2008,0;0;0;0;1,Cu,31.8441,157.0629
M001175,1978;1983,0;1,Zn,39.1103,153.9559
M001176,1995;2000;2005,0;0;1,Fe,-69.1384,131.6418
M001177,1987;1992;1997;2002;2007,0;1;1;1;1,Zn,0.0664,137.3397
M001178,1999;2004;2009;2014,0;0;0;3,Ag,-12.6415,-160.2919
M001179,1991;1996;2001;2006;2011,0;0;1;1;2,Au,16.6604,104.6263
M001180,2001;2006,0;1,U,83.1437,-55.9887
M001181,2005;2010,0;0,Zn,-62.1744,-104.13
M001182,2002;2007;2012;2017;2022;2027,0;0;0;0;3;3,Zn,-44.0584,-65.2962
M001183,2004;2009;2014;2019,0;1;2;2,Ag,-60.2628,-144.1204
M001184,2010;2015;2020;2025;2030,0;0;0;0;0,Zn,-3.0954,-79.8198
M001185,1986;1991;1996;2001;2006;2011,0;0;0;1;2;2,Ag,-13.4151,29.0515
M001186,2005;2010;2015,0;1;1,Ag,37.3811,-161.5768
M001187,1998;2003;2008,0;0;1,Ag,32.3663,114.2967
M001188,2007;2012;2017;2022;2027,0;0;1;1;1,U,-76.818,-41.7197
M001189,1996;2001,0;3,Zn,40.9294,44.7484
M001190,1976;1981,0;3,Zn,64.0327,-131.2943
M001191,1994;1999;2004;2009;2014;2019,0;0;0;0;1;1,Au,81.9284,18.1752
M001192,1992;1997;2002;2007;2012;2017,0;0;0;1;2;2,Ag,-30.8615,-5.1066
M001193,1970;1975;1980,0;0;0,Au,-19.3693,16.3788
M001194,1971;1976;1981;1986;1991;1996,0;3;3;3;3;3,Au,30.2998,31.2918
M001195,1976;1981;1986;1991,0;1;1;3,Cu,69.9542,31.0614
M001196,2006;2011;2016;2021;2026,0;1;2;2;2,Cu,-22.4743,-73.9822
M001197,2004;2009;2014,0;0;1,Cu,-12.3978,-140.7214
M001198,2011;2016;2021;2026;2031,0;0;1;2;2,Ag,75.9886,44.0131
M001199,1975;1980;1985,0;0;1,Zn,3.6052,10.4904
M001200,2008;2013;2018;2023;2028;2033,0;0;3;3;3;3,Zn,73.4988,-111.2988
M001201,1971;1976;1981;1986;1991,0;0;0;0;0,Au,45.2321,-92.4378
M001202,2004;2009;2014;2019;2024;2029,0;0;0;1;1;1,Ag,-65.3681,-0.4403
M001203,1997;2002;2007,0;0;1,Ag,36.9651,-87.4404
